frame_no_cam,person_id,x_top_left_BB,y_top_left_BB,x_bottom_right_BB,y_bottom_right_BB
0,182,1705,377,1753,445
1,182,1705,376,1753,444
2,182,1704,376,1754,443
3,182,1704,375,1755,442
4,182,1702,375,1756,442
5,182,1702,375,1756,440
6,182,1702,374,1756,439
7,182,1702,373,1756,438
8,182,1704,371,1757,436
9,182,1707,370,1758,435
10,182,1707,369,1760,449
11,182,1707,367,1763,445
12,182,1707,365,1764,443
13,182,1708,364,1765,442
14,182,1709,362,1766,442
15,182,1710,361,1767,443
16,182,1711,360,1767,445
17,182,1712,360,1766,446
18,182,1713,360,1766,447
19,182,1714,360,1766,448
20,182,1711,360,1767,449
21,182,1709,359,1768,449
22,182,1707,358,1769,450
23,182,1707,356,1769,450
24,182,1707,354,1770,449
25,182,1708,351,1772,447
26,182,1709,347,1773,444
27,182,1710,345,1775,445
28,182,1711,343,1775,447
29,182,1711,341,1776,449
30,182,1712,340,1776,437
31,182,1712,340,1776,436
32,182,1713,339,1776,437
33,182,1713,339,1775,437
34,182,1714,339,1774,438
35,182,1714,340,1774,438
36,182,1715,340,1773,441
37,182,1716,339,1773,438
38,182,1718,339,1774,435
39,182,1719,338,1776,434
40,182,1718,337,1779,434
41,182,1717,334,1780,433
42,182,1717,332,1782,450
43,182,1717,329,1783,448
44,182,1718,327,1783,446
45,182,1718,325,1783,443
46,182,1719,324,1782,441
47,182,1720,324,1781,438
48,182,1721,323,1780,439
49,182,1723,323,1778,439
50,182,1723,324,1777,439
51,182,1723,324,1778,440
52,182,1721,325,1778,441
53,182,1719,326,1779,443
54,182,1717,326,1779,444
55,182,1716,327,1780,448
56,182,1715,327,1780,451
57,182,1715,328,1780,452
58,182,1715,328,1779,453
59,182,1715,329,1778,453
60,182,1716,330,1777,456
61,182,1715,332,1775,459
62,182,1715,333,1774,461
63,182,1715,334,1773,462
64,182,1715,335,1772,462
65,182,1715,335,1772,462
66,182,1715,335,1771,462
67,182,1715,335,1771,462
68,182,1713,335,1772,462
69,182,1711,335,1773,462
70,182,1710,335,1773,462
71,182,1708,335,1774,462
72,182,1707,335,1774,463
73,182,1707,335,1773,466
74,182,1706,335,1773,468
75,182,1706,336,1774,470
76,182,1705,338,1775,472
77,182,1705,339,1775,474
78,182,1705,340,1776,475
79,182,1706,341,1776,476
80,182,1706,342,1775,476
81,182,1711,342,1775,476
82,182,1712,342,1775,476
83,182,1706,342,1775,476
84,182,1706,342,1775,476
85,182,1706,342,1775,476
86,182,1706,342,1775,476
87,182,1706,342,1774,477
88,182,1707,342,1774,477
89,182,1707,343,1774,477
90,182,1707,344,1774,479
91,182,1707,345,1774,481
92,182,1710,346,1774,477
93,182,1712,347,1773,478
94,182,1713,349,1772,478
95,182,1715,350,1772,478
96,182,1715,351,1771,477
97,182,1715,351,1771,476
98,182,1714,352,1771,476
99,182,1714,352,1771,476
100,182,1714,352,1771,476
101,182,1709,352,1771,477
