frame_no_cam,person_id,x_top_left_BB,y_top_left_BB,x_bottom_right_BB,y_bottom_right_BB
0,1,1645,87,1666,133
0,2,1574,95,1594,140
0,3,1546,105,1564,153
0,5,1657,90,1684,131
0,7,1657,107,1666,117
0,8,1580,97,1605,143
0,9,1562,98,1580,145
0,11,1344,173,1376,252
0,12,1727,91,1750,136
0,14,1531,116,1558,167
0,15,1636,90,1654,131
0,16,1680,89,1699,134
0,19,1547,109,1573,157
0,25,1572,104,1590,151
0,93,1188,235,1225,349
0,102,1329,191,1366,291
0,138,421,528,543,786
0,149,889,338,951,500
0,181,1144,219,1170,327
0,183,1675,82,1683,99
1,1,1645,87,1666,133
1,2,1574,95,1593,140
1,3,1548,105,1563,150
1,5,1657,89,1683,131
1,7,1647,108,1665,125
1,8,1580,98,1605,143
1,9,1562,98,1580,145
1,11,1339,173,1375,252
1,12,1726,91,1750,136
1,14,1530,117,1558,167
1,15,1636,90,1654,132
1,16,1677,89,1699,133
1,19,1547,110,1573,158
1,25,1572,104,1590,151
1,93,1188,235,1226,349
1,102,1329,191,1367,290
1,138,426,523,550,779
1,149,888,339,949,505
1,181,1144,219,1172,327
1,183,1674,82,1683,104
2,1,1644,87,1665,132
2,2,1574,96,1593,140
2,3,1546,105,1563,153
2,5,1657,89,1681,131
2,7,1645,108,1664,133
2,8,1580,98,1604,144
2,9,1562,98,1579,145
2,11,1338,172,1374,260
2,12,1725,91,1750,136
2,14,1530,117,1557,167
2,15,1636,90,1653,132
2,16,1674,90,1699,133
2,19,1547,110,1572,159
2,25,1572,104,1589,151
2,93,1188,235,1227,349
2,102,1330,192,1367,290
2,138,431,519,557,778
2,149,888,341,947,508
2,181,1143,219,1174,327
2,183,1673,82,1683,104
3,1,1642,87,1665,132
3,2,1574,96,1592,141
3,3,1546,105,1567,153
3,5,1658,89,1679,131
3,7,1645,107,1663,134
3,8,1582,98,1604,142
3,9,1561,99,1579,146
3,11,1336,172,1374,260
3,12,1724,91,1749,136
3,14,1530,118,1557,168
3,15,1636,90,1653,133
3,16,1672,90,1698,133
3,19,1549,110,1571,157
3,25,1572,104,1589,151
3,93,1188,235,1229,348
3,102,1331,192,1368,288
3,138,435,516,564,778
3,149,887,343,944,510
3,181,1143,219,1176,327
3,183,1672,82,1684,104
4,1,1640,88,1665,132
4,2,1579,96,1592,117
4,3,1547,105,1567,130
4,5,1658,89,1677,131
