frame_no_cam,person_id,x_top_left_BB,y_top_left_BB,x_bottom_right_BB,y_bottom_right_BB
0,18,745,-10,754,10
0,21,751,-11,762,10
0,27,559,11,571,35
0,32,736,-10,747,10
0,40,1564,89,1582,130
0,45,1367,-5,1370,3
0,57,1496,76,1517,115
0,62,1541,86,1563,126
0,66,194,228,230,298
0,67,767,60,783,94
0,76,431,100,453,141
0,84,946,92,950,108
0,87,973,-11,983,2
0,88,442,91,461,128
0,96,490,32,503,50
0,97,1888,155,1925,211
0,99,760,-11,767,9
0,100,1284,28,1298,56
0,101,1373,9,1381,25
0,106,790,1,802,24
0,109,1858,154,1892,209
0,110,830,75,843,111
0,111,1202,23,1211,49
0,118,1498,75,1521,112
0,122,795,-2,805,20
0,124,790,106,815,151
0,125,1600,96,1624,140
0,134,336,154,361,204
0,142,777,139,797,188
0,151,274,185,293,224
0,152,1545,82,1563,122
0,154,1372,-6,1377,3
0,157,298,174,324,227
0,158,1316,21,1329,47
0,160,507,49,521,80
0,161,990,3,993,8
0,164,991,179,1030,236
0,165,1090,23,1099,49
0,166,758,61,772,93
0,168,828,99,842,138
0,177,833,635,894,764
0,178,1418,56,1434,89
0,180,1345,38,1357,56
1,18,746,-10,754,10
1,21,751,-11,762,10
1,27,560,11,571,35
1,32,736,-10,747,10
1,40,1563,88,1582,130
1,45,1367,-5,1370,3
1,57,1496,76,1517,115
1,62,1541,86,1562,126
1,66,194,228,232,297
1,67,767,60,783,94
1,76,431,101,453,142
1,84,947,92,950,108
1,87,973,-11,983,2
1,88,442,90,461,128
1,96,489,32,503,50
1,97,1888,155,1923,211
1,99,760,-11,767,9
1,100,1284,28,1298,55
1,101,1373,9,1381,25
1,106,790,1,803,24
1,109,1860,154,1893,209
1,110,833,75,843,111
1,111,1202,23,1213,49
1,118,1499,75,1521,112
1,122,795,-2,805,20
1,124,790,106,815,151
1,125,1599,96,1624,139
1,134,336,154,361,205
1,142,777,140,798,190
1,151,274,185,292,224
1,152,1545,82,1562,121
1,154,1372,-6,1378,3
1,157,299,177,324,228
1,158,1316,21,1328,47
1,160,507,49,521,80
1,161,990,3,993,8
1,164,993,179,1031,235
1,165,1090,23,1100,49
1,166,758,61,772,93
1,168,827,99,842,137
1,177,834,632,895,765
1,178,1418,56,1435,90
1,180,1346,38,1357,56
2,18,746,-10,754,10
2,21,751,-11,762,10
2,27,560,11,571,35
2,32,736,-10,748,10
2,40,1562,88,1582,130
2,45,1367,-5,1369,3
2,57,1496,76,1516,115
2,62,1541,86,1561,126
2,66,195,228,234,297
2,67,767,60,782,94
2,76,430,101,452,142
2,84,947,92,951,108
2,87,973,-11,983,2
2,88,442,90,461,127
2,96,489,32,503,50
2,97,1888,154,1922,210
2,99,760,-11,768,9
2,100,1284,28,1298,55
2,101,1373,9,1382,25
2,106,790,1,803,24
2,109,1862,154,1893,209
2,110,835,75,842,111
2,111,1201,23,1214,49
2,118,1500,75,1521,112
2,122,794,-2,806,20
2,124,790,106,815,151
2,125,1598,96,1623,139
2,134,336,155,360,207
2,142,777,140,798,190
2,151,274,179,297,232
2,152,1545,82,1561,123
2,154,1372,-6,1378,3
2,157,298,178,324,229
2,158,1316,21,1327,47
2,160,507,49,521,80
2,161,990,3,993,8
2,164,995,179,1032,235
2,165,1089,24,1102,49
2,166,758,61,771,94
2,168,827,98,842,137
2,177,835,630,895,765
2,178,1418,56,1435,90
2,180,1346,38,1357,57
3,18,746,-10,754,10
3,21,751,-11,762,10
3,27,560,11,571,35
3,32,736,-10,748,10
3,40,1561,88,1582,130
3,45,1366,-5,1369,3
3,57,1496,76,1516,114
3,62,1541,86,1561,126
3,66,195,228,236,297
3,67,767,60,782,94
3,76,430,101,452,142
3,84,948,92,951,108
3,87,973,-12,982,2
3,88,443,90,461,126
3,96,488,32,503,51
3,97,1888,154,1920,208
3,99,760,-11,768,9
3,100,1284,28,1298,55
