frame_no_cam,person_id,x_top_left_BB,y_top_left_BB,x_bottom_right_BB,y_bottom_right_BB
0,27,539,1,559,45
0,85,1484,259,1557,400
0,96,649,-29,665,6
0,106,42,9,76,57
0,122,-27,22,6,75
0,171,1287,412,1415,600
0,179,300,266,350,375
0,184,882,-31,893,5
1,27,539,2,559,45
1,85,1485,259,1558,399
1,96,649,-29,666,6
1,106,43,9,76,56
1,122,-27,22,6,75
1,171,1285,413,1416,604
1,179,296,266,343,375
1,184,883,-31,893,5
2,27,539,2,558,45
2,85,1485,258,1559,397
2,96,650,-29,667,7
2,106,43,9,76,56
2,122,-27,22,7,75
2,171,1283,415,1416,607
2,179,293,266,354,380
2,184,883,-31,893,5
3,27,538,2,558,46
3,85,1486,258,1560,395
3,96,650,-28,668,7
3,106,44,8,76,56
3,122,-27,22,7,75
3,171,1282,416,1415,609
3,179,290,266,345,380
3,184,883,-31,892,5
4,27,538,2,558,46
4,85,1486,257,1560,393
4,96,650,-28,668,6
4,106,44,8,76,56
4,122,-26,22,8,75
4,171,1280,418,1414,610
4,179,288,266,340,380
4,184,883,-31,892,5
5,27,538,2,558,46
5,85,1487,255,1561,390
5,96,650,-28,669,7
5,106,44,8,76,56
5,122,-26,22,9,74
5,171,1279,419,1412,611
5,179,286,267,339,355
5,184,885,-31,892,5
6,27,538,2,558,46
6,85,1488,253,1561,387
6,96,651,-28,670,7
6,106,44,8,77,56
6,122,-25,22,10,74
6,171,1278,421,1410,612
6,179,282,268,340,376
6,184,884,-31,892,5
7,27,538,2,557,46
7,85,1490,251,1561,385
7,96,651,-27,670,7
7,106,44,7,77,56
7,122,-25,22,10,74
7,171,1278,422,1407,613
7,179,278,268,341,377
7,184,884,-31,892,5
8,27,539,2,557,46
8,85,1492,249,1562,385
8,96,652,-27,670,7
8,106,44,7,77,56
8,122,-24,22,11,74
8,171,1277,423,1403,613
8,179,271,270,342,358
8,184,884,-30,892,5
9,27,538,2,556,46
9,85,1493,248,1562,385
9,96,653,-28,670,7
9,106,44,7,77,56
9,122,-24,22,11,74
9,171,1276,424,1399,613
9,179,263,272,343,360
9,184,885,-30,892,5
10,27,538,2,555,46
10,85,1495,246,1562,385
10,96,654,-28,670,7
10,106,44,7,77,56
10,122,-23,22,12,74
10,171,1276,425,1394,613
10,179,256,274,343,362
10,184,885,-30,892,5
11,27,538,2,554,46
11,85,1496,246,1563,385
11,96,655,-28,670,7
11,106,45,7,77,56
11,122,-22,22,12,73
11,171,1276,426,1388,613
11,179,250,276,343,364
11,184,885,-30,892,5
12,27,538,2,553,46
12,85,1496,246,1564,385
12,96,656,-28,670,7
12,106,45,7,78,56
12,122,-21,22,12,73
12,171,1276,427,1384,613
12,179,244,278,342,366
12,184,885,-31,892,5
13,27,538,1,551,46
13,85,1496,247,1566,385
13,96,657,-28,670,7
13,106,45,7,78,56
13,122,-20,22,13,72
13,171,1277,427,1380,613
13,179,239,280,339,368
13,184,885,-31,892,5
14,27,537,1,549,46
14,85,1496,247,1567,385
14,96,658,-29,670,7
14,106,45,7,78,56
14,122,-19,21,13,72
14,171,1277,427,1376,613
14,179,236,282,336,369
14,184,884,-31,892,5
15,27,537,1,548,46
15,85,1496,247,1568,384
15,96,659,-29,671,7
15,106,46,7,78,56
15,122,-18,21,13,72
15,171,1278,428,1372,613
15,179,233,283,331,370
15,184,884,-31,892,5
16,27,536,1,549,46
16,85,1496,247,1569,384
16,96,659,-29,671,7
16,106,46,7,78,56
16,122,-17,21,13,72
16,171,1275,428,1369,613
16,179,231,284,325,370
16,184,884,-30,892,5
17,27,535,2,549,46
17,85,1496,247,1570,382
17,96,660,-28,672,7
17,106,46,7,78,56
17,122,-15,20,13,72
17,171,1272,429,1366,612
17,179,230,284,318,371
17,184,884,-30,892,5
18,27,534,2,549,46
18,85,1496,246,1571,379
18,96,661,-28,674,7
18,106,47,7,78,55
18,122,-15,20,14,72
18,171,1269,429,1363,612
18,179,231,285,302,371
18,184,882,-30,891,5
19,27,533,2,549,46
19,85,1497,246,1572,376
19,96,661,-28,676,7
19,106,47,7,78,55
19,122,-14,20,15,68
19,171,1268,430,1359,612
19,179,231,285,295,371
19,184,882,-30,891,5
20,27,531,2,550,46
20,85,1499,245,1573,372
20,96,662,-27,677,7
20,106,48,7,79,55
20,122,-13,20,17,68
20,171,1263,431,1356,612
20,179,227,285,289,371
20,184,881,-30,891,5
21,27,529,2,550,46
